title; aliases; description; tags; contactInformation; category; coverImage; reference
The Virtues Campus; ; ; ; ; ; Untitled; ./The%20Virtues%20Campus.md
Calvary Chapel University; ; ; ; ; ; Untitled; ./Calvary%20Chapel%20University.md
